;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
21;-0.027622911719358;-0.00799256395872375;7;3;7;1;1;0;1;0;0;0
211;-0.027228727032758998;-0.00876700093566024;5;4;8;1;0;1;0;1;0;0
212;0.0490960267272367;0.0493578962651136;0;0;0;0;0;0;0;8;2;10
213;-0.00135193655887964;-0.0354490210111768;0;1;7;1;3;3;2;2;0;1
214;-0.0104266084106778;-0.0315101081219952;1;1;1;4;7;4;1;1;0;0
215;-0.0072212308481661705;-0.0335699499618643;1;2;1;7;3;2;1;2;0;1
216;0.0360904465292291;0.0101904251812765;0;0;0;0;0;1;0;9;0;10
217;-0.0390342397707211;0.0192139050410441;2;4;9;4;1;0;0;0;0;0
218;-0.0333299950162979;0.00445722880885625;1;4;11;1;1;2;0;0;0;0
219;-0.0420301561929341;0.0278904496238405;5;4;9;1;1;0;0;0;0;0
2110;-0.0155375761752963;-0.0267152975303244;1;1;7;4;2;3;2;0;0;0
2111;0.0406205509283233;0.0224688845592132;0;0;0;0;0;0;1;9;1;9
2112;0.0343815163772918;0.00593739268525166;0;0;0;0;0;0;1;9;1;9
2113;0.0267787553060236;-0.0104679989667484;0;0;0;0;0;0;0;9;0;11
2114;-0.0474430094889107;0.0451841303614834;3;6;8;3;0;0;0;0;0;0
2115;-0.0277050148935428;-0.00782986994976439;2;5;8;2;2;0;1;0;0;0
2116;-0.0403196494980366;0.022858479904255;4;2;10;3;1;0;0;0;0;0
2117;-0.0363665532417625;0.0120248420811754;3;3;8;4;2;0;0;0;0;0
2118;0.0475190923987106;0.0439683986077324;0;0;0;0;0;0;0;7;0;13
2119;-0.0249544733928949;-0.0130194740332176;1;5;8;2;1;3;0;0;0;0
2120;-0.0450060838562559;0.0371406231462153;4;4;8;4;0;0;0;0;0;0
2121;0.00175098285143578;-0.0354531348666523;0;0;0;4;4;10;0;2;0;0
2122;0.0545566881209673;0.069386435443074;0;0;0;0;0;0;0;8;0;12
2123;-0.0255560082438177;-0.0119304598917381;2;4;5;5;4;0;0;0;0;0
2124;0.0207569455212862;-0.0205465335595692;0;0;0;0;0;0;0;10;0;10
2125;-0.0182958000389422;-0.0233564080322444;0;2;8;5;0;2;2;1;0;0
2126;0.0262037273174856;-0.0115417044814883;0;0;0;0;0;2;0;11;0;7
2127;0.0145088882779247;-0.0282795236633092;0;0;0;0;2;3;2;6;1;6
2128;-0.000529533931180313;-0.0355167572258855;0;1;3;4;1;4;4;0;2;1
2129;-0.0359716693516013;0.0110036566526742;7;3;7;3;0;0;0;0;0;0
2130;0.0297053951759638;-0.00463914326384762;0;0;0;0;0;1;1;10;0;8
2131;0.0100753633188763;-0.0320839040862498;0;0;1;3;1;5;3;2;3;2
2132;-0.035593695281157;0.0100365811637807;1;7;11;0;1;0;0;0;0;0
2133;-0.00362776447164518;-0.0350110169377056;0;1;2;2;6;4;1;3;0;1
2134;0.0477002066793326;0.0445784106060698;0;0;0;0;0;0;0;10;1;9
2135;-0.0290577716488082;-0.00508030031258337;1;4;11;2;0;1;1;0;0;0
2136;0.0210451720844062;-0.0201228608214105;0;0;1;0;3;0;1;9;0;6
2137;0.0343150854327743;0.005776256244220471;0;0;0;0;0;0;0;9;0;11
2138;0.0250099950809302;-0.013695639445848;0;0;0;0;0;0;0;11;1;8
2139;0.00474798660622266;-0.034807476695445996;0;0;2;6;2;4;0;5;1;0
2140;0.0200408007158168;-0.0215736565606264;0;0;0;0;0;1;2;5;3;9
2141;0.0287551913595811;-0.00659835625719473;0;0;0;0;0;0;0;10;0;10
2142;0.0103712179421313;-0.0318735331070298;0;1;0;1;5;5;2;4;1;1
2143;-0.00921505588235386;-0.0323745158324145;1;0;7;2;5;3;2;0;0;0
2144;0.0371932849553747;0.0130452620168541;0;0;0;0;0;0;0;11;1;8
2145;-0.0329345415964852;0.0035199204827800795;4;6;8;1;1;0;0;0;0;0
2146;0.0227910898828697;-0.0174302841878006;0;0;0;0;0;0;2;9;0;9
2147;-0.0024500695105885897;-0.0352836313028611;0;0;1;2;4;9;1;3;0;0
2148;0.00349525393917198;-0.0351550061720342;0;0;2;1;5;2;7;2;0;1
2149;0.008906476924957241;-0.0328542148590049;0;0;0;0;3;2;4;7;2;2
2150;0.0442073640690969;0.0332251931735429;0;0;0;0;0;0;0;10;0;10
2151;-0.0529148709692908;0.0647827862314556;5;3;9;1;2;0;0;0;0;0
2152;0.039403364930699;0.0190265139162547;0;0;0;0;0;1;1;9;0;9
2153;0.0384911790613819;0.0165157483399505;0;0;0;0;0;1;0;9;0;10
2154;-0.0265265447967386;-0.0101191903405715;3;2;7;1;7;0;0;0;0;0
2155;0.0174152008696699;-0.0250276084702526;0;0;1;2;1;1;2;6;2;5
2156;-0.0207210176529542;-0.0199563357316413;1;2;4;8;1;2;1;1;0;0
2157;0.0104622963669715;-0.031807518404859;1;0;0;2;3;1;2;7;0;4
2158;-0.0514037084265745;0.0591575448010843;6;3;7;1;2;1;0;0;0;0
2159;-0.0264236378871108;-0.0103144137054886;2;4;12;1;1;0;0;0;0;0
2160;0.0504246474795453;0.0540359095336334;0;0;0;0;0;0;0;11;0;9
2161;0.0529217045165087;0.0631673967639209;0;0;0;0;0;0;0;9;0;11
2162;0.0406657497849877;0.0225987407528628;0;0;0;1;0;0;1;8;0;10
2163;-0.0384350351732337;0.0175550842140024;5;3;8;2;1;0;1;0;0;0
2164;0.0522850679531558;0.0607971926911564;0;0;0;0;0;0;0;8;2;10
2165;0.0147705829825088;-0.0280113027781352;0;0;0;0;1;0;2;9;1;7
2166;-0.000254102413201742;-0.0355286978291953;0;1;1;3;1;4;3;2;3;2
2167;0.0333249931920336;0.00341183703097949;0;0;0;0;0;2;0;9;0;9
2168;0.0031370814625608;-0.0352338663332812;0;1;2;2;4;3;6;1;1;0
2169;0.0311293091377988;-0.0015830661908124801;0;0;0;0;0;0;0;9;0;11
2170;0.0262703240017889;-0.0114185568245765;0;0;0;0;0;0;0;12;0;8
2171;-0.0459160481543824;0.0400947473437716;4;2;12;1;1;0;0;0;0;0
2172;-0.0407475250683851;0.0240977027357113;3;3;9;4;1;0;0;0;0;0
2173;0.0254136727700947;-0.0129785884860653;0;0;0;0;0;0;0;11;0;9
2174;-0.042303036547615;0.02871244170831;7;3;6;3;1;0;0;0;0;0
2175;-0.051129793231237;0.0581552817254013;1;5;12;2;0;0;0;0;0;0
2176;-0.0139465541435277;-0.0284069078894242;1;1;6;5;4;1;2;0;0;0
2177;-0.0115717102016135;-0.0305972162009128;0;2;3;3;5;3;3;1;0;0
2178;-0.00636418373355205;-0.0339969845476183;0;2;4;3;5;2;2;1;1;0
2179;-0.0516347734852274;0.0600071644056627;4;4;9;2;0;1;0;0;0;0
2180;0.0424109836326426;0.0277238297512317;0;0;0;0;0;0;0;9;0;11
2181;-0.0153545746342518;-0.026919025162201002;0;2;2;4;6;4;1;1;0;0
2182;-0.0295693574418087;-0.004006575379016121;0;2;6;4;8;0;0;0;0;0
2183;0.0192194967709845;-0.0227067325174817;0;0;0;0;1;0;0;10;2;7
2184;-0.0531891861285526;0.0658213177413309;6;3;8;2;0;1;0;0;0;0
2185;-0.0217509357256499;-0.018385974459643;1;2;5;4;3;2;2;0;0;1
2186;-0.0105014916506604;-0.031453257926582;1;2;6;3;3;1;1;2;1;0
2187;0.0437787977632702;0.0318918906440774;0;0;0;0;0;1;0;10;1;8
2188;0.0212443740646013;-0.0198265976213466;0;0;0;0;0;2;0;9;0;9
